game,scenario,model_id,contrast_vs_baseline_cheap_talk
pd,no_sense,Llama-3.1-8B-Instruct,-0.5
pd,no_sense,Qwen2.5-7B-Instruct,-0.884375
pd,no_sense,Qwen3-4B,-0.02604166666666663
pd,no_sense,gemma-2-2b-it,-0.7182531759978334
pd,no_sense,gemma-2-9b-it,-0.909375
pd,silence,Llama-3.1-8B-Instruct,-0.6553075396825396
pd,silence,Qwen2.5-7B-Instruct,-0.571875
pd,silence,Qwen3-4B,-0.16666666666666663
pd,silence,gemma-2-2b-it,-0.9409346019665801
pd,silence,gemma-2-9b-it,-0.6963789682539683
pd,counterfactual,Llama-3.1-8B-Instruct,-0.03149801587301582
pd,counterfactual,Qwen2.5-7B-Instruct,-0.234375
pd,counterfactual,Qwen3-4B,0.0
pd,counterfactual,gemma-2-2b-it,-0.9151150267641787
pd,counterfactual,gemma-2-9b-it,-0.21875
pd,framing_business,Llama-3.1-8B-Instruct,-0.290625
pd,framing_business,Qwen2.5-7B-Instruct,-0.018750000000000044
pd,framing_business,Qwen3-4B,0.0
pd,framing_business,gemma-2-2b-it,-0.3413619110467194
pd,framing_business,gemma-2-9b-it,0.0
pd,framing_team,Llama-3.1-8B-Instruct,-0.30937499999999996
pd,framing_team,Qwen2.5-7B-Instruct,-0.025000000000000022
pd,framing_team,Qwen3-4B,0.0
pd,framing_team,gemma-2-2b-it,0.006151914626490562
pd,framing_team,gemma-2-9b-it,0.0
pd,framing_competitive,Llama-3.1-8B-Instruct,-0.6238347457627119
pd,framing_competitive,Qwen2.5-7B-Instruct,-0.671875
pd,framing_competitive,Qwen3-4B,-0.99375
pd,framing_competitive,gemma-2-2b-it,-0.9040469818614334
pd,framing_competitive,gemma-2-9b-it,-0.98125
sh,no_sense,Llama-3.1-8B-Instruct,-0.25109126984126984
sh,no_sense,Qwen2.5-7B-Instruct,-0.015625
sh,no_sense,Qwen3-4B,0.0
sh,no_sense,gemma-2-2b-it,0.14183067528877602
sh,no_sense,gemma-2-9b-it,-0.27812499999999996
sh,silence,Llama-3.1-8B-Instruct,-0.10997983870967742
sh,silence,Qwen2.5-7B-Instruct,-0.0031250000000000444
sh,silence,Qwen3-4B,0.0
sh,silence,gemma-2-2b-it,0.36394580185247766
sh,silence,gemma-2-9b-it,-0.006249999999999978
sh,counterfactual,Llama-3.1-8B-Instruct,0.012351190476190377
sh,counterfactual,Qwen2.5-7B-Instruct,-0.006249999999999978
sh,counterfactual,Qwen3-4B,-0.00520833333333337
sh,counterfactual,gemma-2-2b-it,0.2178865211844459
sh,counterfactual,gemma-2-9b-it,-0.273611111111111
sh,framing_business,Llama-3.1-8B-Instruct,-0.334375
sh,framing_business,Qwen2.5-7B-Instruct,0.0
sh,framing_business,Qwen3-4B,0.0
sh,framing_business,gemma-2-2b-it,0.36019612228383263
sh,framing_business,gemma-2-9b-it,-0.046875
sh,framing_team,Llama-3.1-8B-Instruct,-0.31875
sh,framing_team,Qwen2.5-7B-Instruct,0.0
sh,framing_team,Qwen3-4B,0.0
sh,framing_team,gemma-2-2b-it,-0.038336892016969104
sh,framing_team,gemma-2-9b-it,-0.19062500000000004
sh,framing_competitive,Llama-3.1-8B-Instruct,-0.4279265873015874
sh,framing_competitive,Qwen2.5-7B-Instruct,-0.009375000000000022
sh,framing_competitive,Qwen3-4B,-0.015625
sh,framing_competitive,gemma-2-2b-it,0.0009353761634224023
sh,framing_competitive,gemma-2-9b-it,-0.39231150793650793
