game,scenario,model_id,contrast_vs_baseline_cheap_talk
pd,framing_business,Llama-3.1-8B-Instruct,-0.290625
pd,framing_business,Qwen2.5-7B-Instruct,-0.018750000000000044
pd,framing_business,Qwen3-4B,0.0
pd,framing_business,gemma-2-2b-it,-0.3413619110467194
pd,framing_business,gemma-2-9b-it,0.0
pd,framing_team,Llama-3.1-8B-Instruct,-0.30937499999999996
pd,framing_team,Qwen2.5-7B-Instruct,-0.025000000000000022
pd,framing_team,Qwen3-4B,0.0
pd,framing_team,gemma-2-2b-it,0.006151914626490562
pd,framing_team,gemma-2-9b-it,0.0
pd,framing_competitive,Llama-3.1-8B-Instruct,-0.6238347457627119
pd,framing_competitive,Qwen2.5-7B-Instruct,-0.671875
pd,framing_competitive,Qwen3-4B,-0.99375
pd,framing_competitive,gemma-2-2b-it,-0.9040469818614334
pd,framing_competitive,gemma-2-9b-it,-0.98125
sh,framing_business,Llama-3.1-8B-Instruct,-0.334375
sh,framing_business,Qwen2.5-7B-Instruct,0.0
sh,framing_business,Qwen3-4B,0.0
sh,framing_business,gemma-2-2b-it,0.36019612228383263
sh,framing_business,gemma-2-9b-it,-0.046875
sh,framing_team,Llama-3.1-8B-Instruct,-0.31875
sh,framing_team,Qwen2.5-7B-Instruct,0.0
sh,framing_team,Qwen3-4B,0.0
sh,framing_team,gemma-2-2b-it,-0.038336892016969104
sh,framing_team,gemma-2-9b-it,-0.19062500000000004
sh,framing_competitive,Llama-3.1-8B-Instruct,-0.4279265873015874
sh,framing_competitive,Qwen2.5-7B-Instruct,-0.009375000000000022
sh,framing_competitive,Qwen3-4B,-0.015625
sh,framing_competitive,gemma-2-2b-it,0.0009353761634224023
sh,framing_competitive,gemma-2-9b-it,-0.39231150793650793
