model_id,game,scenario,no_comm_mean,no_comm_ci_lo,no_comm_ci_hi,cheap_talk_mean,cheap_talk_ci_lo,cheap_talk_ci_hi,delta,n_no_comm,n_cheap_talk
Llama-3.1-8B-Instruct,pd,baseline_cheap_talk,0.46965541554976087,0.2613274008157212,0.6779834302838005,0.984375,0.959375,1.0,0.5147195844502391,5,5
Llama-3.1-8B-Instruct,pd,counterfactual,0.46965541554976087,0.2613274008157212,0.6779834302838005,0.9528769841269842,0.9153769841269842,0.984375,0.4832215685772233,5,5
Llama-3.1-8B-Instruct,pd,framing_business,0.46965541554976087,0.2613274008157212,0.6779834302838005,0.69375,0.496875,0.890625,0.2240945844502391,5,5
Llama-3.1-8B-Instruct,pd,framing_competitive,0.46965541554976087,0.2613274008157212,0.6779834302838005,0.36054025423728814,0.29375,0.4273305084745763,-0.10911516131247273,5,5
Llama-3.1-8B-Instruct,pd,framing_team,0.46965541554976087,0.2613274008157212,0.6779834302838005,0.675,0.421875,0.8532812499999999,0.20534458445023918,5,5
Llama-3.1-8B-Instruct,pd,no_sense,0.46965541554976087,0.2613274008157212,0.6779834302838005,0.484375,0.315625,0.675,0.014719584450239132,5,5
Llama-3.1-8B-Instruct,pd,silence,0.46965541554976087,0.2613274008157212,0.6779834302838005,0.3290674603174603,0.29250992063492065,0.36564856150793645,-0.14058795523230055,5,5
Llama-3.1-8B-Instruct,sh,baseline_cheap_talk,0.6521467097194513,0.5900553771697148,0.7257498585172609,0.953125,0.875,0.996875,0.3009782902805487,5,5
Llama-3.1-8B-Instruct,sh,counterfactual,0.6521467097194513,0.5900553771697148,0.7257498585172609,0.9654761904761905,0.9528273809523811,0.984375,0.31332948075673916,5,5
Llama-3.1-8B-Instruct,sh,framing_business,0.6521467097194513,0.5900553771697148,0.7257498585172609,0.61875,0.496875,0.771875,-0.0333967097194513,5,5
Llama-3.1-8B-Instruct,sh,framing_competitive,0.6521467097194513,0.5900553771697148,0.7257498585172609,0.5251984126984126,0.5062996031746032,0.5440972222222222,-0.12694829702103871,5,5
Llama-3.1-8B-Instruct,sh,framing_team,0.6521467097194513,0.5900553771697148,0.7257498585172609,0.634375,0.5375,0.74375,-0.0177717097194513,5,5
Llama-3.1-8B-Instruct,sh,no_sense,0.6521467097194513,0.5900553771697148,0.7257498585172609,0.7020337301587302,0.617607886904762,0.8,0.04988702043927884,5,5
Llama-3.1-8B-Instruct,sh,silence,0.6521467097194513,0.5900553771697148,0.7257498585172609,0.8431451612903226,0.78125,0.9118951612903226,0.19099845157087125,5,5
Qwen2.5-7B-Instruct,pd,baseline_cheap_talk,0.084375,0.059375,0.115625,1.0,1.0,1.0,0.915625,5,5
Qwen2.5-7B-Instruct,pd,counterfactual,0.084375,0.059375,0.115625,0.765625,0.65625,0.865625,0.68125,5,5
Qwen2.5-7B-Instruct,pd,framing_business,0.084375,0.059375,0.115625,0.98125,0.965625,0.996875,0.896875,5,5
Qwen2.5-7B-Instruct,pd,framing_competitive,0.084375,0.059375,0.115625,0.328125,0.046875,0.6125,0.24375,5,5
Qwen2.5-7B-Instruct,pd,framing_team,0.084375,0.059375,0.115625,0.975,0.959375,0.990625,0.890625,5,5
Qwen2.5-7B-Instruct,pd,no_sense,0.084375,0.059375,0.115625,0.115625,0.06875,0.1625,0.03125,5,5
Qwen2.5-7B-Instruct,pd,silence,0.084375,0.059375,0.115625,0.428125,0.203125,0.7036718749999995,0.34375,5,5
Qwen2.5-7B-Instruct,sh,baseline_cheap_talk,0.93125,0.875,0.975,1.0,1.0,1.0,0.06874999999999998,5,5
Qwen2.5-7B-Instruct,sh,counterfactual,0.93125,0.875,0.975,0.99375,0.9875,1.0,0.0625,5,5
Qwen2.5-7B-Instruct,sh,framing_business,0.93125,0.875,0.975,1.0,1.0,1.0,0.06874999999999998,5,5
Qwen2.5-7B-Instruct,sh,framing_competitive,0.93125,0.875,0.975,0.990625,0.978125,1.0,0.059374999999999956,5,5
Qwen2.5-7B-Instruct,sh,framing_team,0.93125,0.875,0.975,1.0,1.0,1.0,0.06874999999999998,5,5
Qwen2.5-7B-Instruct,sh,no_sense,0.93125,0.875,0.975,0.984375,0.975,0.99375,0.05312499999999998,5,5
Qwen2.5-7B-Instruct,sh,silence,0.93125,0.875,0.975,0.996875,0.990625,1.0,0.06562499999999993,5,5
Qwen3-4B,pd,baseline_cheap_talk,0.058562405118195625,0.03125,0.07547169811320754,1.0,1.0,1.0,0.9414375948818043,3,3
Qwen3-4B,pd,counterfactual,0.058562405118195625,0.03125,0.07547169811320754,1.0,1.0,1.0,0.9414375948818043,3,3
Qwen3-4B,pd,framing_business,0.058562405118195625,0.03125,0.07547169811320754,1.0,1.0,1.0,0.9414375948818043,3,5
Qwen3-4B,pd,framing_competitive,0.058562405118195625,0.03125,0.07547169811320754,0.00625,0.0,0.01875,-0.052312405118195626,3,5
Qwen3-4B,pd,framing_team,0.058562405118195625,0.03125,0.07547169811320754,1.0,1.0,1.0,0.9414375948818043,3,5
Qwen3-4B,pd,no_sense,0.058562405118195625,0.03125,0.07547169811320754,0.9739583333333334,0.96875,0.984375,0.9153959282151377,3,3
Qwen3-4B,pd,silence,0.058562405118195625,0.03125,0.07547169811320754,0.8333333333333334,0.5,1.0,0.7747709282151377,3,3
Qwen3-4B,sh,baseline_cheap_talk,0.816484733428255,0.6122448979591837,1.0,1.0,1.0,1.0,0.183515266571745,3,3
Qwen3-4B,sh,counterfactual,0.816484733428255,0.6122448979591837,1.0,0.9947916666666666,0.984375,1.0,0.17830693323841162,3,3
Qwen3-4B,sh,framing_business,0.816484733428255,0.6122448979591837,1.0,1.0,1.0,1.0,0.183515266571745,3,5
Qwen3-4B,sh,framing_competitive,0.816484733428255,0.6122448979591837,1.0,0.984375,0.962421875,1.0,0.167890266571745,3,5
Qwen3-4B,sh,framing_team,0.816484733428255,0.6122448979591837,1.0,1.0,1.0,1.0,0.183515266571745,3,5
Qwen3-4B,sh,no_sense,0.816484733428255,0.6122448979591837,1.0,1.0,1.0,1.0,0.183515266571745,3,3
Qwen3-4B,sh,silence,0.816484733428255,0.6122448979591837,1.0,1.0,1.0,1.0,0.183515266571745,3,3
