path,model_id,model_id_raw,game,condition,scenario,framing_type,n_rounds,n_runs_config,run_id,coop_rate_overall,coop_rate_hub,coop_rate_leaf,hub_minus_leaf_coop,hub_total_payoff,leaf_avg_payoff,hub_leadership_rate,hub_exploitation_rate,invalid_rate,full_coop_rate
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_pd_cheaptalk_run01.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,pd,cheap_talk,baseline_cheap_talk,neutral,16,5,1,1.0,1.0,1.0,0.0,192,4.0,1.0,0.0,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_pd_cheaptalk_run02.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,pd,cheap_talk,baseline_cheap_talk,neutral,16,5,2,1.0,1.0,1.0,0.0,192,4.0,1.0,0.0,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_pd_cheaptalk_run03.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,pd,cheap_talk,baseline_cheap_talk,neutral,16,5,3,1.0,1.0,1.0,0.0,192,4.0,1.0,0.0,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_pd_cheaptalk_run04.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,pd,cheap_talk,baseline_cheap_talk,neutral,16,5,4,1.0,1.0,1.0,0.0,192,4.0,1.0,0.0,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_pd_cheaptalk_run05.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,pd,cheap_talk,baseline_cheap_talk,neutral,16,5,5,1.0,1.0,1.0,0.0,192,4.0,1.0,0.0,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_sh_cheaptalk_run01.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,sh,cheap_talk,baseline_cheap_talk,neutral,16,5,1,1.0,1.0,1.0,0.0,288,6.0,1.0,,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_sh_cheaptalk_run02.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,sh,cheap_talk,baseline_cheap_talk,neutral,16,5,2,1.0,1.0,1.0,0.0,288,6.0,1.0,,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_sh_cheaptalk_run03.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,sh,cheap_talk,baseline_cheap_talk,neutral,16,5,3,1.0,1.0,1.0,0.0,288,6.0,1.0,,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_sh_cheaptalk_run04.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,sh,cheap_talk,baseline_cheap_talk,neutral,16,5,4,1.0,1.0,1.0,0.0,288,6.0,1.0,,0.0,1.0
C:\Users\tsimp\OneDrive\Υπολογιστής\diplomatikh\run1_qwen2.5_7b\cheap_talk_baseline_1\20260511_124412_sh_cheaptalk_run05.json,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,sh,cheap_talk,baseline_cheap_talk,neutral,16,5,5,1.0,1.0,1.0,0.0,288,6.0,1.0,,0.0,1.0
