model_id,topology,cell,cooperative_runs,runs,share
Llama-3.1-8B-Instruct,cycle,baseline_cheap_talk,5,5,1.0
Llama-3.1-8B-Instruct,cycle,counterfactual,5,5,1.0
Llama-3.1-8B-Instruct,cycle,framing_business,4,5,0.8
Llama-3.1-8B-Instruct,cycle,framing_business_context,6,10,0.6
Llama-3.1-8B-Instruct,cycle,framing_competitive,1,5,0.2
Llama-3.1-8B-Instruct,cycle,framing_competitive_context,5,10,0.5
Llama-3.1-8B-Instruct,cycle,framing_team,4,5,0.8
Llama-3.1-8B-Instruct,cycle,framing_team_context,10,10,1.0
Llama-3.1-8B-Instruct,cycle,no_comm,2,5,0.4
Llama-3.1-8B-Instruct,cycle,no_sense,3,5,0.6
Llama-3.1-8B-Instruct,cycle,silence,3,5,0.6
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,5,5,1.0
Llama-3.1-8B-Instruct,star,counterfactual,5,5,1.0
Llama-3.1-8B-Instruct,star,framing_business,2,5,0.4
Llama-3.1-8B-Instruct,star,framing_business_context,7,10,0.7
Llama-3.1-8B-Instruct,star,framing_competitive,2,5,0.4
Llama-3.1-8B-Instruct,star,framing_competitive_context,5,10,0.5
Llama-3.1-8B-Instruct,star,framing_team,3,5,0.6
Llama-3.1-8B-Instruct,star,framing_team_context,10,10,1.0
Llama-3.1-8B-Instruct,star,no_comm,1,5,0.2
Llama-3.1-8B-Instruct,star,no_sense,1,5,0.2
Llama-3.1-8B-Instruct,star,silence,0,5,0.0
Qwen2.5-7B-Instruct,cycle,baseline_cheap_talk,5,5,1.0
Qwen2.5-7B-Instruct,cycle,counterfactual,5,5,1.0
Qwen2.5-7B-Instruct,cycle,framing_business,5,5,1.0
Qwen2.5-7B-Instruct,cycle,framing_business_context,8,10,0.8
Qwen2.5-7B-Instruct,cycle,framing_competitive,0,5,0.0
Qwen2.5-7B-Instruct,cycle,framing_competitive_context,5,10,0.5
Qwen2.5-7B-Instruct,cycle,framing_team,5,5,1.0
Qwen2.5-7B-Instruct,cycle,framing_team_context,10,10,1.0
Qwen2.5-7B-Instruct,cycle,no_comm,0,5,0.0
Qwen2.5-7B-Instruct,cycle,no_sense,0,5,0.0
Qwen2.5-7B-Instruct,cycle,silence,3,5,0.6
Qwen2.5-7B-Instruct,star,baseline_cheap_talk,5,5,1.0
Qwen2.5-7B-Instruct,star,counterfactual,4,5,0.8
Qwen2.5-7B-Instruct,star,framing_business,5,5,1.0
Qwen2.5-7B-Instruct,star,framing_business_context,8,10,0.8
Qwen2.5-7B-Instruct,star,framing_competitive,1,5,0.2
Qwen2.5-7B-Instruct,star,framing_competitive_context,5,10,0.5
Qwen2.5-7B-Instruct,star,framing_team,5,5,1.0
Qwen2.5-7B-Instruct,star,framing_team_context,10,10,1.0
Qwen2.5-7B-Instruct,star,no_comm,0,5,0.0
Qwen2.5-7B-Instruct,star,no_sense,0,5,0.0
Qwen2.5-7B-Instruct,star,silence,1,5,0.2
Qwen3-4B,cycle,baseline_cheap_talk,5,5,1.0
Qwen3-4B,cycle,counterfactual,5,5,1.0
Qwen3-4B,cycle,framing_business,5,5,1.0
Qwen3-4B,cycle,framing_business_context,5,10,0.5
Qwen3-4B,cycle,framing_competitive,0,5,0.0
Qwen3-4B,cycle,framing_competitive_context,5,10,0.5
Qwen3-4B,cycle,framing_team,5,5,1.0
Qwen3-4B,cycle,framing_team_context,9,10,0.9
Qwen3-4B,cycle,no_comm,0,5,0.0
Qwen3-4B,cycle,no_sense,5,5,1.0
Qwen3-4B,cycle,silence,4,5,0.8
Qwen3-4B,star,baseline_cheap_talk,5,5,1.0
Qwen3-4B,star,counterfactual,5,5,1.0
Qwen3-4B,star,framing_business,5,5,1.0
Qwen3-4B,star,framing_business_context,6,10,0.6
Qwen3-4B,star,framing_competitive,0,5,0.0
Qwen3-4B,star,framing_competitive_context,5,10,0.5
Qwen3-4B,star,framing_team,5,5,1.0
Qwen3-4B,star,framing_team_context,10,10,1.0
Qwen3-4B,star,no_comm,0,5,0.0
Qwen3-4B,star,no_sense,5,5,1.0
Qwen3-4B,star,silence,3,5,0.6
gemma-2-2b-it,cycle,baseline_cheap_talk,5,5,1.0
gemma-2-2b-it,cycle,counterfactual,0,5,0.0
gemma-2-2b-it,cycle,framing_business,3,5,0.6
gemma-2-2b-it,cycle,framing_business_context,7,10,0.7
gemma-2-2b-it,cycle,framing_competitive,0,5,0.0
gemma-2-2b-it,cycle,framing_competitive_context,5,10,0.5
gemma-2-2b-it,cycle,framing_team,5,5,1.0
gemma-2-2b-it,cycle,framing_team_context,10,10,1.0
gemma-2-2b-it,cycle,no_comm,0,5,0.0
gemma-2-2b-it,cycle,no_sense,0,5,0.0
gemma-2-2b-it,cycle,silence,0,5,0.0
gemma-2-2b-it,star,baseline_cheap_talk,5,5,1.0
gemma-2-2b-it,star,counterfactual,0,5,0.0
gemma-2-2b-it,star,framing_business,3,5,0.6
gemma-2-2b-it,star,framing_business_context,5,10,0.5
gemma-2-2b-it,star,framing_competitive,0,5,0.0
gemma-2-2b-it,star,framing_competitive_context,5,10,0.5
gemma-2-2b-it,star,framing_team,5,5,1.0
gemma-2-2b-it,star,framing_team_context,10,10,1.0
gemma-2-2b-it,star,no_comm,3,5,0.6
gemma-2-2b-it,star,no_sense,0,5,0.0
gemma-2-2b-it,star,silence,0,5,0.0
gemma-2-9b-it,cycle,baseline_cheap_talk,5,5,1.0
gemma-2-9b-it,cycle,counterfactual,5,5,1.0
gemma-2-9b-it,cycle,framing_business,5,5,1.0
gemma-2-9b-it,cycle,framing_business_context,5,10,0.5
gemma-2-9b-it,cycle,framing_competitive,0,5,0.0
gemma-2-9b-it,cycle,framing_competitive_context,5,10,0.5
gemma-2-9b-it,cycle,framing_team,5,5,1.0
gemma-2-9b-it,cycle,framing_team_context,8,10,0.8
gemma-2-9b-it,cycle,no_comm,1,5,0.2
gemma-2-9b-it,cycle,no_sense,0,5,0.0
gemma-2-9b-it,cycle,silence,2,5,0.4
gemma-2-9b-it,star,baseline_cheap_talk,10,10,1.0
gemma-2-9b-it,star,counterfactual,4,5,0.8
gemma-2-9b-it,star,framing_business,5,5,1.0
gemma-2-9b-it,star,framing_business_context,5,10,0.5
gemma-2-9b-it,star,framing_competitive,0,5,0.0
gemma-2-9b-it,star,framing_competitive_context,5,10,0.5
gemma-2-9b-it,star,framing_team,5,5,1.0
gemma-2-9b-it,star,framing_team_context,10,10,1.0
gemma-2-9b-it,star,no_comm,0,10,0.0
gemma-2-9b-it,star,no_sense,0,5,0.0
gemma-2-9b-it,star,silence,1,5,0.2
