model_id,topology,cell,scenario,condition,game,n_runs,coop_rate_overall_mean,coop_rate_overall_ci_lo,coop_rate_overall_ci_hi,coop_rate_hub_mean,coop_rate_hub_ci_lo,coop_rate_hub_ci_hi,coop_rate_leaf_mean,coop_rate_leaf_ci_lo,coop_rate_leaf_ci_hi,hub_minus_leaf_coop_mean,hub_minus_leaf_coop_ci_lo,hub_minus_leaf_coop_ci_hi,hub_total_payoff_mean,hub_total_payoff_ci_lo,hub_total_payoff_ci_hi,leaf_avg_payoff_mean,leaf_avg_payoff_ci_lo,leaf_avg_payoff_ci_hi,hub_leadership_rate_mean,hub_leadership_rate_ci_lo,hub_leadership_rate_ci_hi,hub_exploitation_rate_mean,hub_exploitation_rate_ci_lo,hub_exploitation_rate_ci_hi,invalid_rate_mean,invalid_rate_ci_lo,invalid_rate_ci_hi,full_coop_rate_mean,full_coop_rate_ci_lo,full_coop_rate_ci_hi
Llama-3.1-8B-Instruct,cycle,baseline_cheap_talk,baseline_cheap_talk,cheap_talk,pd,5,0.990625,0.978125,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9625,0.9125,1.0
Llama-3.1-8B-Instruct,cycle,baseline_cheap_talk,baseline_cheap_talk,cheap_talk,sh,5,0.915625,0.84375,0.965625,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.75,0.6,0.8875
Llama-3.1-8B-Instruct,cycle,counterfactual,counterfactual,cheap_talk,pd,5,0.99375,0.9875,1.0,,,,,,,,,,,,,,,,,,,,,,0.003125,0.0,0.009375,0.9625,0.9375,0.9875
Llama-3.1-8B-Instruct,cycle,counterfactual,counterfactual,cheap_talk,sh,5,0.9625,0.946875,0.9813281249999999,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8625,0.7875,0.9375
Llama-3.1-8B-Instruct,cycle,framing_business,framing_business,cheap_talk,pd,5,0.78125,0.634375,0.9125,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4875,0.25,0.75
Llama-3.1-8B-Instruct,cycle,framing_business,framing_business,cheap_talk,sh,5,0.7863095238095238,0.7383928571428571,0.8291964285714287,,,,,,,,,,,,,,,,,,,,,,0.00625,0.0,0.0125,0.3875,0.25,0.525
Llama-3.1-8B-Instruct,cycle,framing_business_context[cheap_talk],framing_business_context,cheap_talk,pd,5,0.978125,0.934375,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.925,0.775,1.0
Llama-3.1-8B-Instruct,cycle,framing_business_context[cheap_talk],framing_business_context,cheap_talk,sh,5,0.928125,0.865625,0.978125,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.8,0.6871875000000001,0.9128124999999997
Llama-3.1-8B-Instruct,cycle,framing_business_context[no_comm],framing_business_context,no_comm,pd,5,0.5202608004139081,0.40944036178631993,0.6559322033898305,,,,,,,,,,,,,,,,,,,,,,0.06875,0.05625,0.084375,0.1125,0.0125,0.25
Llama-3.1-8B-Instruct,cycle,framing_business_context[no_comm],framing_business_context,no_comm,sh,5,0.7307490586465588,0.6309935710111046,0.8042099816998975,,,,,,,,,,,,,,,,,,,,,,0.071875,0.05625,0.084375,0.275,0.1125,0.4625
Llama-3.1-8B-Instruct,cycle,framing_competitive,framing_competitive,cheap_talk,pd,5,0.31879960317460315,0.2649801587301587,0.3990079365079365,,,,,,,,,,,,,,,,,,,,,,0.009375,0.003125,0.015625,0.0125,0.0,0.0375
Llama-3.1-8B-Instruct,cycle,framing_competitive,framing_competitive,cheap_talk,sh,5,0.5562996031746031,0.49970238095238095,0.590625,,,,,,,,,,,,,,,,,,,,,,0.00625,0.0,0.0125,0.1375,0.0875,0.1875
Llama-3.1-8B-Instruct,cycle,framing_competitive_context[cheap_talk],framing_competitive_context,cheap_talk,pd,5,0.9811011904761905,0.962202380952381,0.996875,,,,,,,,,,,,,,,,,,,,,,0.00625,0.0,0.0125,0.9,0.8125,0.9625
Llama-3.1-8B-Instruct,cycle,framing_competitive_context[cheap_talk],framing_competitive_context,cheap_talk,sh,5,0.971875,0.946875,0.99375,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.9,0.7875,0.9875
