path,model_id,model_id_raw,game,topology,condition,scenario,cell,framing_type,n_rounds,n_runs_config,run_id,coop_rate_overall,coop_rate_hub,coop_rate_leaf,hub_minus_leaf_coop,hub_total_payoff,leaf_avg_payoff,hub_leadership_rate,hub_exploitation_rate,invalid_rate,full_coop_rate
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_pd_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,1,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_pd_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,2,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_pd_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,3,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_pd_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,4,0.9375,1.0,0.9166666666666666,0.08333333333333337,180.0,4.166666666666667,0.9333333333333333,0.0,0.0,0.75
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_pd_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,5,0.984375,1.0,0.9791666666666666,0.02083333333333337,189.0,4.041666666666667,0.9777777777777777,0.0,0.0,0.9375
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_sh_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,1,0.796875,0.6875,0.8333333333333334,-0.14583333333333337,230.0,4.354166666666667,0.6222222222222222,,0.0,0.5
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_sh_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,2,0.984375,1.0,0.9791666666666666,0.02083333333333337,283.0,5.958333333333333,0.9777777777777777,,0.0,0.9375
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_sh_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,3,1.0,1.0,1.0,0.0,288.0,6.0,1.0,,0.0,1.0
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_sh_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,4,1.0,1.0,1.0,0.0,288.0,6.0,1.0,,0.0,1.0
Llama-3.1-8B-Instruct_star\baseline\cheap_talk\20260608_172628_sh_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,baseline_cheap_talk,baseline_cheap_talk,neutral,16,5,5,0.984375,0.9375,1.0,-0.0625,282.0,5.6875,0.9333333333333333,,0.0,0.9375
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_pd_nocomm_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,no_comm,no_comm,neutral,16,5,1,0.7540983606557377,0.7333333333333333,0.7608695652173914,-0.02753623188405807,167.0,3.2708333333333335,0.725,,0.046875,0.4375
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_pd_nocomm_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,no_comm,no_comm,neutral,16,5,2,0.29310344827586204,0.2857142857142857,0.29545454545454547,-0.009740259740259771,101.0,2.3125,0.6111111111111112,,0.09375,0.0
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_pd_nocomm_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,no_comm,no_comm,neutral,16,5,3,0.7741935483870968,0.8,0.7659574468085106,0.03404255319148941,162.0,3.5833333333333335,0.7073170731707317,,0.03125,0.375
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_pd_nocomm_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,no_comm,no_comm,neutral,16,5,4,0.1935483870967742,0.13333333333333333,0.2127659574468085,-0.07943262411347518,115.0,2.0833333333333335,0.7560975609756098,,0.03125,0.0
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_pd_nocomm_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,no_comm,no_comm,neutral,16,5,5,0.3333333333333333,0.4,0.3125,0.08750000000000002,125.0,2.9166666666666665,0.5952380952380952,,0.015625,0.0
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_sh_nocomm_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,no_comm,no_comm,neutral,16,5,1,0.7741935483870968,0.8666666666666667,0.7446808510638298,0.12198581560283694,201.0,4.5625,0.7857142857142857,,0.03125,0.25
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_sh_nocomm_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,no_comm,no_comm,neutral,16,5,2,0.603448275862069,0.5384615384615384,0.6222222222222222,-0.0837606837606838,148.0,2.7083333333333335,0.6363636363636364,,0.09375,0.25
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_sh_nocomm_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,no_comm,no_comm,neutral,16,5,3,0.7096774193548387,0.8571428571428571,0.6666666666666666,0.19047619047619047,183.0,4.1875,0.717948717948718,,0.03125,0.3125
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_sh_nocomm_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,no_comm,no_comm,neutral,16,5,4,0.5769230769230769,0.3333333333333333,0.627906976744186,-0.29457364341085274,93.0,1.4375,0.4166666666666667,,0.1875,0.0625
Llama-3.1-8B-Instruct_star\baseline\no_comm\20260608_172628_sh_nocomm_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,no_comm,no_comm,neutral,16,5,5,0.5964912280701754,0.6666666666666666,0.5777777777777777,0.0888888888888889,129.0,2.8125,0.5,,0.109375,0.125
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_pd_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,1,0.984375,1.0,0.9791666666666666,0.02083333333333337,189.0,4.041666666666667,0.9777777777777777,0.0,0.0,0.9375
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_pd_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,2,0.984375,1.0,0.9791666666666666,0.02083333333333337,189.0,4.041666666666667,0.9777777777777777,0.0,0.0,0.9375
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_pd_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,3,0.984375,1.0,0.9791666666666666,0.02083333333333337,189.0,4.041666666666667,0.9777777777777777,0.0,0.0,0.9375
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_pd_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,4,0.9206349206349206,0.9333333333333333,0.9166666666666666,0.01666666666666672,174.0,3.7291666666666665,0.9523809523809523,0.06666666666666667,0.015625,0.6875
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_pd_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,5,0.890625,0.8125,0.9166666666666666,-0.10416666666666663,198.0,3.6041666666666665,0.8222222222222222,0.1875,0.0,0.5625
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_sh_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,1,0.96875,1.0,0.9583333333333334,0.04166666666666663,278.0,5.916666666666667,0.9555555555555556,,0.0,0.875
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_sh_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,2,0.9523809523809523,1.0,0.9361702127659575,0.06382978723404253,267.0,5.75,0.9333333333333333,,0.015625,0.75
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_sh_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,3,1.0,1.0,1.0,0.0,288.0,6.0,1.0,,0.0,1.0
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_sh_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,4,0.953125,1.0,0.9375,0.0625,273.0,5.875,0.9555555555555556,,0.0,0.8125
Llama-3.1-8B-Instruct_star\counterfactual\cheap_talk\20260611_102745_sh_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,counterfactual,counterfactual,neutral,16,5,5,0.953125,0.9375,0.9583333333333334,-0.02083333333333337,275.0,5.666666666666667,0.8888888888888888,,0.0,0.875
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_pd_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business,framing_business,business,16,5,1,0.984375,1.0,0.9791666666666666,0.02083333333333337,189.0,4.041666666666667,0.9777777777777777,0.0,0.0,0.9375
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_pd_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business,framing_business,business,16,5,2,0.96875,1.0,0.9583333333333334,0.04166666666666663,186.0,4.083333333333333,0.9555555555555556,0.0,0.0,0.875
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_pd_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business,framing_business,business,16,5,3,0.546875,0.5,0.5625,-0.0625,163.0,3.0833333333333335,0.7333333333333333,0.25,0.0,0.1875
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_pd_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business,framing_business,business,16,5,4,0.484375,0.625,0.4375,0.1875,137.0,3.7916666666666665,0.4888888888888889,0.0625,0.0,0.0625
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_pd_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business,framing_business,business,16,5,5,0.484375,0.4375,0.5,-0.0625,159.0,3.0,0.5555555555555556,0.375,0.0,0.125
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_sh_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business,framing_business,business,16,5,1,0.578125,0.6875,0.5416666666666666,0.14583333333333337,175.0,4.083333333333333,0.7333333333333333,,0.0,0.1875
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_sh_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business,framing_business,business,16,5,2,0.4375,0.5625,0.3958333333333333,0.16666666666666669,143.0,3.4791666666666665,0.4888888888888889,,0.0,0.0625
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_sh_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business,framing_business,business,16,5,3,0.515625,0.625,0.4791666666666667,0.14583333333333331,163.0,3.8333333333333335,0.6222222222222222,,0.0,0.1875
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_sh_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business,framing_business,business,16,5,4,0.890625,0.875,0.8958333333333334,-0.02083333333333337,254.0,5.229166666666667,0.8444444444444444,,0.0,0.6875
Llama-3.1-8B-Instruct_star\framing_business\cheap_talk\20260611_102745_sh_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business,framing_business,business,16,5,5,0.671875,0.625,0.6875,-0.0625,189.0,3.75,0.6222222222222222,,0.0,0.125
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_pd_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,1,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_pd_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,2,0.9375,0.9375,0.9375,0.0,189.0,3.9375,0.9333333333333333,0.0625,0.0,0.75
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_pd_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,3,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_pd_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,4,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_pd_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,5,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_sh_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,1,0.96875,1.0,0.9583333333333334,0.04166666666666663,278.0,5.916666666666667,0.9555555555555556,,0.0,0.875
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_sh_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,2,0.90625,0.9375,0.8958333333333334,0.04166666666666663,260.0,5.541666666666667,0.8222222222222222,,0.0,0.6875
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_sh_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,3,0.9365079365079365,1.0,0.9148936170212766,0.08510638297872342,262.0,5.708333333333333,0.9090909090909091,,0.015625,0.6875
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_sh_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,4,0.96875,0.9375,0.9791666666666666,-0.04166666666666663,277.0,5.645833333333333,0.9111111111111111,,0.0,0.875
Llama-3.1-8B-Instruct_star\framing_business_context\cheap_talk\20260804_135633_sh_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_business_context,framing_business_context[cheap_talk],neutral,16,5,5,0.96875,0.9375,0.9791666666666666,-0.04166666666666663,277.0,5.645833333333333,0.9111111111111111,,0.0,0.875
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_pd_nocomm_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,1,0.4067796610169492,0.4,0.4090909090909091,-0.009090909090909094,131.0,2.5208333333333335,0.42105263157894735,,0.078125,0.0
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_pd_nocomm_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,2,0.5806451612903226,0.5,0.6086956521739131,-0.10869565217391308,167.0,2.9583333333333335,0.5813953488372093,,0.03125,0.0625
