model_id,topology,cell,game,round,coop_rate
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,1,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,2,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,3,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,4,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,5,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,6,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,7,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,8,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,9,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,10,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,11,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,12,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,13,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,14,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,15,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,16,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,1,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,2,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,3,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,4,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,5,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,6,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,7,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,8,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,9,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,10,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,11,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,12,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,13,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,14,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,15,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,16,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,1,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,2,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,3,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,4,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,5,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,6,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,7,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,8,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,9,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,10,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,11,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,12,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,13,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,14,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,15,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,16,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,1,0.75
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,2,0.75
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,3,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,4,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,5,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,6,0.75
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,7,0.75
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,8,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,9,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,10,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,11,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,12,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,13,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,14,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,15,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,16,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,1,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,2,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,3,1.0
Llama-3.1-8B-Instruct,star,baseline_cheap_talk,pd,4,1.0
