model,game,condition,hub_coop_%,leaf_coop_%,P(leaf C | hub C),P(leaf C | hub D),influence_hub->leaf,P(hub C | leaves C),P(hub C | leaves D),influence_leaf->hub,cascade_after_hub_defect_%,cascade_after_leaf_defect_%,P(converge | hub1=C),P(converge | hub1=D)
Gemma-2-2B,pd,cheap_talk,97.4,98.2,98.5,75.0,23.5,98.6,100.0,-1.4,25.0,0.0,100.0,100.0
Gemma-2-2B,pd,counterfactual,2.7,7.5,50.0,5.2,44.8,33.3,0.0,33.3,,66.7,0.0,0.0
Gemma-2-2B,pd,framing_business,46.1,69.2,80.0,53.7,26.3,46.2,31.6,14.6,27.8,33.3,20.0,
Gemma-2-2B,pd,framing_competitive,1.4,9.5,0.0,9.2,-9.2,0.0,1.6,-1.6,,,,0.0
Gemma-2-2B,pd,framing_team,98.7,98.6,98.4,100.0,-1.6,98.6,100.0,-1.4,,0.0,80.0,
Gemma-2-2B,pd,no_comm,73.8,65.3,79.6,15.8,63.8,94.1,29.2,64.9,66.7,9.5,0.0,0.0
Gemma-2-2B,pd,no_sense,23.1,26.7,30.0,24.2,5.8,29.4,19.0,10.4,66.7,25.0,0.0,0.0
Gemma-2-2B,pd,silence,3.0,3.9,0.0,3.6,-3.6,33.3,1.7,31.6,,,,0.0
Gemma-2-2B,sh,cheap_talk,10.5,26.6,13.6,25.7,-12.1,0.0,11.8,-11.8,16.7,,0.0,0.0
Gemma-2-2B,sh,counterfactual,50.7,42.3,49.5,38.4,11.1,62.1,41.5,20.6,50.0,41.7,0.0,0.0
Gemma-2-2B,sh,framing_business,55.6,59.4,57.0,58.6,-1.6,55.6,59.1,-3.5,28.6,23.4,0.0,0.0
Gemma-2-2B,sh,framing_competitive,4.4,28.1,14.3,26.6,-12.3,0.0,2.1,-2.1,15.0,,0.0,0.0
Gemma-2-2B,sh,framing_team,13.9,20.4,23.8,13.9,9.9,27.3,5.5,21.8,66.7,25.0,0.0,0.0
Gemma-2-2B,sh,no_comm,82.1,59.0,60.7,44.4,16.3,80.4,82.6,-2.2,50.0,22.2,0.0,
Gemma-2-2B,sh,no_sense,30.9,37.9,46.2,32.9,13.3,30.0,23.3,6.7,100.0,100.0,0.0,0.0
Gemma-2-2B,sh,silence,28.9,72.5,70.4,77.8,-7.4,28.6,50.0,-21.4,0.0,33.3,,0.0
Gemma-2-9B,pd,cheap_talk,100.0,100.0,100.0,,,100.0,,,,,100.0,
Gemma-2-9B,pd,counterfactual,91.2,73.8,75.0,47.6,27.4,94.7,77.8,16.9,33.3,17.6,20.0,
Gemma-2-9B,pd,framing_business,100.0,100.0,100.0,,,100.0,,,,,100.0,
Gemma-2-9B,pd,framing_competitive,1.2,2.1,0.0,0.0,0.0,0.0,1.4,-1.4,,,,0.0
Gemma-2-9B,pd,framing_team,100.0,100.0,100.0,,,100.0,,,,,100.0,
